cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description
CVE-2002-0051,2002-06-25T04:00:00,2025-01-16T17:12:31.750Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-16T17:12:27.298249Z,none,no,total,Track,n/a,n/a,n/a,CWE-667,CWE-667 Improper Locking
CVE-2002-0367,2003-04-02T05:00:00.000Z,2025-07-30T01:47:09.455Z,TRUE,2022-03-03,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-07T14:33:43.942338Z,active,no,total,Act,n/a,n/a,n/a,CWE-269,CWE-269 Improper Privilege Management
CVE-2002-0391,2003-04-02T05:00:00,2025-01-16T17:20:45.514Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-02-08T19:26:07.645774Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-190,CWE-190 Integer Overflow or Wraparound
CVE-2002-0485,2002-06-11T04:00:00,2025-01-16T17:07:29.547Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,2024-02-05T17:19:31.934437Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-178,CWE-178 Improper Handling of Case Sensitivity
CVE-2002-1372,2004-09-01T04:00:00,2025-01-16T17:42:09.355Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2024-01-25T15:24:01.752587Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-252,CWE-252 Unchecked Return Value
CVE-2002-1657,2005-04-22T04:00:00,2025-01-16T18:07:04.776Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2025-01-16T18:06:18.971030Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-916,CWE-916 Use of Password Hash With Insufficient Computational Effort
CVE-2002-1796,2005-06-28T04:00:00Z,2025-01-16T19:24:39.019Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-02-09T17:57:39.682936Z,none,no,total,Track,n/a,n/a,n/a,CWE-347,CWE-347 Improper Verification of Cryptographic Signature
CVE-2002-1816,2005-06-28T04:00:00,2025-01-16T19:26:26.128Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-02-16T16:45:29.048974Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-193,CWE-193 Off-by-one Error
CVE-2002-1975,2005-06-28T04:00:00Z,2025-01-16T19:27:36.964Z,FALSE,,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2024-02-14T18:32:35.113838Z,none,no,partial,Track,n/a,n/a,n/a,CWE-326,CWE-326 Inadequate Encryption Strength
CVE-2002-20002,2025-01-02T00:00:00,2025-01-06T21:08:29.156Z,FALSE,,5.4,MEDIUM,,,,,,,,,2025-01-06T21:08:18.044511Z,none,no,partial,Track,n/a,n/a,n/a,CWE-338,CWE-338 Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)
CVE-2002-2024,2005-07-14T04:00:00Z,2024-09-16T18:24:20.639Z,FALSE,,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,2024-08-08T14:02:22.048868Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-219,CWE-219 Storage of File with Sensitive Data Under Web Root
