CVE-2006-0054,2006-01-11T21:00:00,2025-01-16T19:53:05.979Z,FALSE,,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,LOW,2024-02-14T16:15:16.514845Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-824,CWE-824 Access of Uninitialized Pointer
CVE-2006-0149,2006-01-09T23:00:00.000Z,2025-04-03T14:56:57.175Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-03T14:52:41.844258Z,none,no,partial,Track,n/a,n/a,n/a,CWE-80,CWE-80 Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)
CVE-2006-0755,2006-02-18T02:00:00,2025-01-16T19:58:25.845Z,FALSE,,5.6,MEDIUM,NETWORK,HIGH,NONE,NONE,UNCHANGED,LOW,LOW,LOW,2024-04-15T18:06:59.724935Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-1078,2006-03-09T00:00:00,2025-01-16T20:02:13.764Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-16T20:01:08.855744Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-1547,2006-03-30T22:00:00.000Z,2025-07-30T01:47:08.709Z,TRUE,2022-01-21,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-02-07T13:35:54.338056Z,active,yes,partial,Act,n/a,n/a,n/a,CWE-749,CWE-749 Exposed Dangerous Method or Function
CVE-2006-20001,2023-01-17T19:07:27.136Z,2025-02-13T16:27:07.996Z,FALSE,,,,,,,,,,,,2024-08-01T15:32:06.669346Z,none,no,partial,Track,Apache Software Foundation,Apache HTTP Server,2.4,CWE-787,CWE-787 Out-of-bounds Write
CVE-2006-2362,2006-05-15T16:00:00,2025-01-16T20:05:47.171Z,FALSE,,7.3,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,2025-01-16T20:05:43.320995Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-787,CWE-787 Out-of-bounds Write
CVE-2006-2492,2006-05-20T00:00:00.000Z,2025-07-30T01:47:08.577Z,TRUE,2022-06-08,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-02-07T13:11:21.653549Z,active,no,total,Act,n/a,n/a,n/a,CWE-120,CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2006-2827,2006-06-05T17:00:00,2025-01-17T13:56:38.025Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T13:56:32.615352Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-3136,2006-06-22T22:00:00,2025-01-17T13:57:51.051Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-04-15T18:14:06.571615Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection')
CVE-2006-3547,2006-07-13T00:00:00,2025-01-17T13:58:42.936Z,FALSE,,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2024-04-15T18:27:47.510692Z,none,no,partial,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-4264,2006-08-21T21:00:00,2025-01-17T14:00:38.513Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T14:00:33.615738Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-4428,2006-08-29T00:00:00,2025-01-17T14:01:42.279Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T14:01:37.355489Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-4574,2006-10-28T00:00:00,2025-01-17T14:05:27.724Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-01-17T14:05:23.777591Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-193,CWE-193 Off-by-one Error
CVE-2006-4663,2006-09-09T00:00:00,2025-01-17T14:02:53.066Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T14:02:46.545941Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-4692,2006-10-10T22:00:00,2024-10-15T14:16:30.576Z,FALSE,,,,,,,,,,,,2024-10-15T14:15:25.340433Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-2006-5014,2006-09-27T01:00:00.000Z,2025-04-03T15:20:50.861Z,FALSE,,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T15:19:40.900742Z,none,no,total,Track,n/a,n/a,n/a,CWE-276,CWE-276 Incorrect Default Permissions
CVE-2006-5021,2006-09-27T23:00:00.000Z,2025-04-03T15:18:24.691Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T15:17:19.693482Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection')
CVE-2006-5024,2006-09-27T23:00:00.000Z,2025-04-03T15:16:27.603Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T15:14:46.948050Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2006-5160,2006-10-03T23:00:00,2025-01-17T14:03:52.423Z,FALSE,,8.1,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,NONE,2025-01-17T14:03:44.646255Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
