cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description
CVE-2010-0021,2010-02-10T18:00:00,2025-01-21T16:49:29.744Z,FALSE,,3.1,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-01-21T16:49:25.829454Z,none,no,partial,Track,n/a,n/a,n/a,CWE-362,CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2010-0036,2010-01-20T16:00:00,2024-10-15T19:44:22.309Z,FALSE,,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2024-10-15T19:38:28.536935Z,none,no,total,Track,n/a,n/a,n/a,,
CVE-2010-0037,2010-01-20T16:00:00,2024-10-15T20:19:24.634Z,FALSE,,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2024-10-15T20:17:43.650172Z,none,no,total,Track,n/a,n/a,n/a,,
CVE-2010-0038,2010-02-03T19:00:00,2024-10-15T20:25:07.814Z,FALSE,,,,,,,,,,,,,2024-10-15T20:24:53.525591Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-2010-0047,2010-03-12T20:00:00,2024-10-15T20:45:01.573Z,FALSE,,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2024-10-15T20:42:29.142438Z,none,no,total,Track,n/a,n/a,n/a,,
CVE-2010-0048,2010-03-12T20:00:00,2024-10-15T20:47:29.773Z,FALSE,,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2024-10-15T20:45:47.897899Z,none,no,total,Track,n/a,n/a,n/a,,
CVE-2010-0188,2010-02-21T17:00:00.000Z,2025-07-30T01:47:05.674Z,TRUE,2022-03-03,3.1,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-04T21:41:51.672734Z,active,no,total,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2010-0232,2010-01-21T19:00:00.000Z,2025-07-30T01:47:05.980Z,TRUE,2022-03-03,3.1,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-04T18:28:06.324249Z,active,no,total,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2010-0242,2010-02-10T18:00:00,2024-10-17T18:20:03.516Z,FALSE,,,,,,,,,,,,,2024-01-11T16:30:47.592940Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-2010-0248,2010-01-22T21:20:00,2024-10-21T16:43:33.939Z,FALSE,,3.1,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-01-11T16:26:44.138229Z,none,no,total,Track,n/a,n/a,n/a,CWE-416,CWE-416 Use After Free
