CVE-2007-0257,2007-01-16T23:00:00,2025-01-17T14:11:44.912Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-04-15T20:13:33.925048Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2007-0342,2007-01-18T02:00:00.000Z,2025-04-03T14:57:31.575Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-04-03T14:55:47.108333Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-476,CWE-476 NULL Pointer Dereference
CVE-2007-0671,2007-02-03T01:00:00.000Z,2025-08-12T22:20:24.146Z,TRUE,2025-08-12,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-08-12T03:55:16.148635Z,active,no,total,Act,n/a,n/a,n/a,,
CVE-2007-10001,2023-01-05T11:26:20.297Z,2025-04-10T14:16:20.559Z,FALSE,,3.5,LOW,,,,,,,,,2025-04-10T14:15:44.609144Z,none,no,partial,Track,n/a,web-cyradm,n/a,CWE-89,CWE-89 SQL Injection
CVE-2007-10002,2023-01-08T09:18:54.836Z,2025-04-09T14:43:42.572Z,FALSE,,7.3,HIGH,,,,,,,,,2025-04-09T14:43:25.333900Z,none,yes,partial,Track,n/a,web-cyradm,n/a,CWE-89,CWE-89 SQL Injection
CVE-2007-10003,2023-10-29T17:00:06.459Z,2024-09-06T19:35:44.204Z,FALSE,,6.3,MEDIUM,,,,,,,,,2024-09-06T19:29:41.947435Z,none,no,partial,Track,n/a,The Hackers Diet Plugin,0.9.6b,CWE-89,CWE-89 SQL Injection
CVE-2007-1383,2007-03-10T00:00:00.000Z,2025-04-03T14:53:51.666Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T14:51:46.992815Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-190,CWE-190 Integer Overflow or Wraparound
CVE-2007-1679,2007-03-26T23:00:00,2025-01-17T14:17:13.977Z,FALSE,,5.4,MEDIUM,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2024-04-15T20:16:46.267575Z,none,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2007-1966,2007-04-11T10:00:00.000Z,2025-04-03T14:50:36.257Z,FALSE,,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,2025-04-03T14:49:42.633483Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-287,CWE-287 Improper Authentication
CVE-2007-2020,2007-04-12T19:00:00,2025-01-17T14:20:03.160Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-04-15T20:18:29.662806Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2007-2422,2007-05-02T00:00:00,2025-01-17T14:37:36.145Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-04-15T20:20:05.115584Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
