cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description
CVE-2013-0006,2013-01-09T18:00:00,2025-01-16T20:51:20.538Z,FALSE,,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-01-16T20:51:15.496628Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2013-0022,2013-02-13T11:00:00,2024-10-17T18:23:40.505Z,FALSE,,3.1,9,CRITICAL,NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,2024-01-10T20:41:33.437446Z,none,no,total,Track,n/a,n/a,n/a,CWE-416,CWE-416 Use After Free
CVE-2013-0029,2013-02-13T11:00:00,2025-01-16T20:50:23.454Z,FALSE,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-01-16T20:50:17.396973Z,none,yes,partial,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2013-0074,2013-03-13T00:00:00.000Z,2025-07-28T19:45:43.724Z,TRUE,2022-05-25,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-02-10T18:54:40.470594Z,active,no,total,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2013-0075,2013-02-13T11:00:00,2024-10-17T18:18:12.016Z,FALSE,,,,,,,,,,,,,2024-01-10T20:39:22.763171Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-2013-0090,2013-03-13T00:00:00,2025-01-16T20:37:41.389Z,FALSE,,3.1,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-01-16T20:37:35.150545Z,poc,no,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2013-0422,2013-01-10T21:23:00.000Z,2025-07-28T19:45:43.385Z,TRUE,2022-05-25,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-10T19:51:35.331536Z,active,yes,total,Act,n/a,n/a,n/a,CWE-284,CWE-284 Improper Access Control
CVE-2013-0431,2013-01-31T14:10:00.000Z,2025-07-28T19:45:42.996Z,TRUE,2022-05-25,3.1,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,2025-02-10T19:50:20.690678Z,active,yes,partial,Act,n/a,n/a,n/a,CWE-693,CWE-693 Protection Mechanism Failure
CVE-2013-0625,2013-01-09T01:00:00.000Z,2025-07-30T01:46:57.584Z,TRUE,2022-03-07,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-04T21:51:17.216288Z,active,yes,total,Act,n/a,n/a,n/a,CWE-287,CWE-287 Improper Authentication
CVE-2013-0629,2013-01-09T01:00:00.000Z,2025-07-28T19:47:06.562Z,TRUE,2022-03-07,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2025-02-04T21:50:42.862032Z,active,yes,partial,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
