cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description
CVE-2015-0016,2015-01-13T22:00:00.000Z,2025-10-22T00:05:33.942Z,TRUE,2022-05-25,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-02-10T18:47:21.507652Z,active,no,total,Act,n/a,n/a,n/a,CWE-22,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2015-0071,2015-02-11T02:00:00.000Z,2025-10-22T00:05:33.391Z,TRUE,2022-05-25,3.1,6.5,MEDIUM,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,HIGH,NONE,2025-02-10T18:49:00.421578Z,active,no,partial,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2015-0310,2015-01-23T21:00:00.000Z,2025-11-17T20:10:36.688Z,TRUE,2022-05-25,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-11-17T20:07:43.520985Z,active,no,total,Act,n/a,n/a,n/a,CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor
CVE-2015-0311,2015-01-23T21:00:00.000Z,2025-11-17T20:19:18.996Z,TRUE,2022-04-13,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-11-17T20:17:34.726664Z,active,no,total,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2015-0313,2015-02-02T19:00:00.000Z,2025-11-17T20:03:39.557Z,TRUE,2022-04-13,3.1,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-11-17T20:02:45.418344Z,active,no,total,Act,n/a,n/a,n/a,CWE-416,CWE-416 Use After Free
CVE-2015-0666,2015-04-03T10:00:00.000Z,2025-10-22T00:05:32.918Z,TRUE,2022-03-25,,,,,,,,,,,,2024-11-08T17:39:47.392997Z,active,yes,partial,Act,n/a,n/a,n/a,,
CVE-2015-0749,2020-02-19T02:55:13.277944Z,2024-11-15T17:41:43.310Z,FALSE,,3.1,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,LOW,NONE,2024-11-15T16:29:29.860928Z,none,no,partial,Track,Cisco,Cisco Unified Communications Manager,next of 11.5(0.98000.108),CWE-79,CWE-79 Cross-site Scripting (XSS)
CVE-2015-0842,2025-06-26T21:10:52.404Z,2025-06-27T18:39:31.603Z,FALSE,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-06-27T18:39:15.795527Z,none,yes,total,Attend,yubiserver,yubiserver,0,CWE-89,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2015-0843,2025-06-26T21:11:01.801Z,2025-06-27T18:38:09.654Z,FALSE,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-06-27T18:37:53.138558Z,none,yes,total,Attend,yubiserver,yubiserver,0,CWE-120,CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2015-0849,2025-06-26T21:15:16.750Z,2025-07-02T14:17:44.734Z,FALSE,,3.1,3.9,LOW,LOCAL,LOW,LOW,REQUIRED,UNCHANGED,LOW,LOW,NONE,2025-07-02T14:16:16.742889Z,none,no,partial,Track,pycode-browser,pycode-browser,0,CWE-377,CWE-377 Insecure Temporary File
