CVE-2008-0081,2008-01-16T22:00:00,2025-01-17T15:12:25.745Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-02-09T18:08:19.346727Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-908,CWE-908 Use of Uninitialized Resource
CVE-2008-0642,2008-02-15T00:00:00.000Z,2025-04-23T15:33:13.035Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-23T13:46:15.547500Z,none,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-0655,2008-02-07T20:00:00.000Z,2025-07-30T01:47:08.323Z,TRUE,2022-06-08,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-02-07T14:23:47.017496Z,active,yes,total,Act,n/a,n/a,n/a,CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor
CVE-2008-10001,2022-03-28T20:45:49.000Z,2025-04-15T14:45:19.323Z,FALSE,,5.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,LOW,LOW,LOW,2025-04-14T17:14:15.923927Z,poc,no,partial,Track,Pro2col,Stingray FTS,n/a,CWE-80,CWE-80 Basic Cross Site Scripting
CVE-2008-10002,2023-03-05T02:00:05.790Z,2024-08-07T12:03:36.475Z,FALSE,,3.5,LOW,,,,,,,,,2024-07-18T15:14:43.052516Z,none,no,partial,Track,cfire24,ajaxlife,0.3.0; 0.3.1; 0.3.2,CWE-79,CWE-79 Cross Site Scripting
CVE-2008-1083,2008-04-08T23:00:00,2024-10-15T14:22:20.263Z,FALSE,,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-01-11T17:04:14.650836Z,none,no,total,Track,n/a,n/a,n/a,CWE-190,CWE-190 Integer Overflow or Wraparound
CVE-2008-1246,2008-03-10T17:00:00,2025-01-17T15:14:14.040Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T15:14:07.818917Z,none,no,total,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2008-1299,2008-03-12T17:00:00.000Z,2025-04-03T14:03:34.826Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-03T14:01:46.228129Z,none,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-1511,2008-03-25T23:00:00.000Z,2025-04-03T13:53:19.240Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T13:51:18.019734Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection')
CVE-2008-2169,2008-05-13T22:00:00.000Z,2025-04-03T13:50:33.094Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-04-03T13:49:41.661855Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-20,CWE-20 Improper Input Validation
CVE-2008-2170,2008-05-13T22:00:00.000Z,2025-04-03T13:48:57.104Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-04-03T13:46:53.502290Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-20,CWE-20 Improper Input Validation
CVE-2008-2173,2008-05-13T22:00:00.000Z,2025-04-03T13:45:55.566Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2025-04-03T13:45:49.972351Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-20,CWE-20 Improper Input Validation
CVE-2008-2374,2008-07-07T23:00:00,2025-01-17T15:15:36.238Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T15:15:23.751667Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-1284,CWE-1284 Improper Validation of Specified Quantity in Input
CVE-2008-2991,2008-07-09T18:00:00.000Z,2025-04-23T15:43:37.416Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-23T13:48:08.051289Z,poc,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-2992,2008-11-04T18:00:00.000Z,2025-07-30T01:47:07.709Z,TRUE,2022-03-03,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-02-10T19:27:56.429203Z,active,no,total,Act,n/a,n/a,n/a,CWE-787,CWE-787 Out-of-bounds Write
CVE-2008-3282,2008-08-29T18:00:00,2025-01-17T15:19:35.334Z,FALSE,,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-01-17T15:19:30.431261Z,none,no,total,Track,n/a,n/a,n/a,CWE-681,CWE-681 Incorrect Conversion between Numeric Types
CVE-2008-3397,2008-07-31T16:00:00.000Z,2025-04-03T13:42:26.289Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-03T13:41:27.432182Z,none,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-3431,2008-08-05T19:20:00.000Z,2025-07-30T01:47:07.896Z,TRUE,2022-03-03,8.8,HIGH,LOCAL,LOW,LOW,NONE,CHANGED,HIGH,HIGH,HIGH,2025-02-10T19:26:44.103422Z,active,no,total,Act,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2008-3465,2008-12-10T13:33:00,2025-01-17T15:33:45.260Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-12-12T15:59:55.519413Z,none,yes,total,Attend,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2008-3474,2008-10-15T00:00:00,2025-01-17T15:21:02.458Z,FALSE,,6.5,MEDIUM,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE,2025-01-17T15:20:56.018956Z,none,no,partial,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2008-3738,2008-08-27T20:00:00.000Z,2025-04-03T13:39:52.134Z,FALSE,,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,2025-04-03T13:38:07.560090Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-287,CWE-287 Improper Authentication
CVE-2008-3775,2008-08-22T16:00:00,2025-01-17T15:17:22.352Z,FALSE,,4.4,MEDIUM,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,NONE,NONE,2025-01-17T15:17:09.408934Z,none,no,partial,Track,n/a,n/a,n/a,CWE-327,CWE-327 Use of a Broken or Risky Cryptographic Algorithm
CVE-2008-3893,2008-09-03T14:00:00.000Z,2025-04-03T13:36:25.239Z,FALSE,,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2025-04-03T13:34:47.480334Z,none,no,partial,Track,n/a,n/a,n/a,CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor
CVE-2008-3935,2008-09-05T15:00:00.000Z,2025-04-03T15:13:53.309Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-03T15:12:53.064694Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-3937,2008-09-05T15:00:00.000Z,2025-04-03T15:11:17.910Z,FALSE,,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2025-04-03T15:10:21.180898Z,none,no,partial,Track,n/a,n/a,n/a,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2008-3938,2008-09-05T15:00:00.000Z,2025-04-03T15:08:51.783Z,FALSE,,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2025-04-03T15:07:21.800425Z,none,no,total,Track,n/a,n/a,n/a,CWE-352,CWE-352 Cross-Site Request Forgery (CSRF)
CVE-2008-3939,2008-09-05T15:00:00.000Z,2025-04-03T15:06:33.617Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2025-04-03T15:06:22.224486Z,none,no,partial,Track,n/a,n/a,n/a,CWE-22,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2008-4036,2008-10-15T00:00:00,2024-10-15T14:24:23.401Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-01-11T17:03:00.431410Z,none,no,total,Track,n/a,n/a,n/a,CWE-190,CWE-190 Integer Overflow or Wraparound
CVE-2008-4109,2008-09-17T18:06:00,2024-08-07T10:00:42.727Z,FALSE,,,,,,,,,,,,2024-07-24T17:46:27.119928Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-2008-4835,2009-01-14T22:00:00,2024-10-15T14:49:14.523Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-10-15T14:26:14.655083Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection')
CVE-2008-4929,2008-11-04T20:00:00,2025-01-17T15:22:15.716Z,FALSE,,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2024-02-14T18:30:55.573662Z,none,yes,partial,Track,n/a,n/a,n/a,,CWE-noinfo Not enough information
CVE-2008-4996,2008-11-07T19:00:00Z,2025-01-17T15:24:30.124Z,FALSE,,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2024-04-18T15:21:37.616515Z,none,no,partial,Track,n/a,n/a,n/a,CWE-59,CWE-59 Improper Link Resolution Before File Access ('Link Following')
CVE-2008-5180,2008-11-20T15:00:00,2024-10-15T14:25:12.919Z,FALSE,,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,LOW,2024-02-27T15:48:29.919794Z,poc,yes,partial,Attend,n/a,n/a,n/a,CWE-770,CWE-770 Allocation of Resources Without Limits or Throttling
CVE-2008-7109,2009-08-28T15:00:00,2025-01-21T16:07:22.267Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-01-25T19:14:41.089736Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-863,CWE-863 Incorrect Authorization
